Designator,Footprint,Quantity,Value,LCSC Part #
"BATT+1, POWER_PAD_SMD1",Power_pad_smd,2,power_pad_smd,
C10,603,1,22uF 16V,C2762594
C11,CAPC2012X140N,1,0.1uF 6.3V,C5445386
C12,CAPC1608X90N,1,1uF 16V,C696901
C13,CAPC1608X90N,1,0.1 uF 100V,C20069879
C14,CAPPRD250W50D655H1250,1,22uF 100V,C437651
"C15, C16, C17",603,3,10nF,C163179
"C18, C32",603,2,1uF,C696901
"C19, C20, C28",603,3,1uF,C696901
C21,603,1,4u7,C8032
"C22, C23, C24, C26, C31",603,5,100nF,C53084461
"C25, C27",603,2,33pF,C18220913
C29,603,1,10nF,C15195
C30,603,1,100nF,C53084461
"C33, C34, C35, C36, C38",603,5,2.2uF,C20539433
"C37, C39",CAPPRD750W85D1600H2700,2,680uF 80V,C407989
"C6, C9",603,2,47nF 100V,C599763
C7,603,1,0.1uF 16V,C20539422
C8,603,1,1uF 6.3V,C105524
D1,DIOM5227X270N,1,SS18 80V 1A,C2898405
D2,603,1,LEDA,C51933292
D3,603,1,LEDB,C7496818
D4,603,1,LEDC,C51933294
D5,SOT95P280X145-6N,1,USBLC6-2SC6Y,C2969755
D6,SOD3716X135N,1,D_Zener,C7529058
D7,DIOM5127X229N,1,SMAJ5.0A-E3_61,C89363
IC1,SOT65P280X145-8N,1,TCAN330DCNT,C2671056
"J1, J5",JST_BM04B-GHS-TBT_LF__SN__N_,2,BM04B-GHS-TBT_LF__SN__N_,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C3025063
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Conn_01x02_Socket,
J4,PinHeader_1x04_P1.00mm_Vertical,1,Conn_01x04_Pin,
L1,INDM7676X355N,1,22uH 1.6A,C167971
L2,603,1,100MHz / 1kR,C76814
"Q10, Q11, Q12, Q7, Q8, Q9",STL90N6F7_Thermal_Vias,6,STL90N6F7,C221506
"R10, R12, R14",603,3,91k,C2907077
"R11, R13, R15",603,3,4k7,C3016318
"R16, R17, R26, R5, R8, R9",603,6,10k,C95204
"R18, R19, R20",603,3,330R,C2907152
"R21, RGA3, RGA4, RGB3, RGB4, RGC3, RGC4",RESC1508X55N,7,0ohm,C1512169
R22,603,1,10k,C95204
R23,603,1,3.3k,C2907140
"R24, R4",603,2,100k,C2907088
"R25, R28, R7",603,3,1k,C3016283
R27,603,1,120R,C114640
R6,RESC1607X60N,1,5k6,C2907046
"RSENSE_A4, RSENSE_A5, RSENSE_B4, RSENSE_B5, RSENSE_C4, RSENSE_C5",RESC6432X80N,6,2mohm,C4198046
"SW1, SW2",SW_SPDT_PCM12,2,SW_SPDT,C221841
TH1,603,1,ERT-J1VG103FA,C153011
U1,QFN50P700X700X100-49N,1,DRV8323RSRGZR,C2653553
U2,SOT-23-5,1,ME6211C33M5,C82942
U3,QFN50P700X700X60-49N,1,STM32G431CBU6,C529356
Y1,XTAL_ECS-80-20-5PX-TR,1,ECS-80-20-5PX-TR,C2441302
"Z1, Z2",KDZLVTR56,2,KDZLVTR56,C3737443
